# 2026-09-13 attribution-trailer correction; commit trees, authors, dates and parent order preserved.
# Existing source-revision and binary-checksum provenance remains unchanged. See HISTORY_REWRITE_20260913.md.
old	new
2037d067cae7a5e979604c145df9bca5845f0382	72b6e191640614e62fddbb4fb7ba693400b3f919
206a25e13b20919549e10e62ded0a8c083ad1c51	206a25e13b20919549e10e62ded0a8c083ad1c51
212145ea3363be04fa9fd9d1c5e340330db8a973	212145ea3363be04fa9fd9d1c5e340330db8a973
2128efe5b8c2c497d815531bc7bdc96d8f1e2ab3	2128efe5b8c2c497d815531bc7bdc96d8f1e2ab3
212bb5cd6dc40e6f1fd9edeb0e48917c7d04e34d	212bb5cd6dc40e6f1fd9edeb0e48917c7d04e34d
2169e0f5c613435000f739737574959905a3c57d	2169e0f5c613435000f739737574959905a3c57d
21b8b9bb023e60d39f47270da5b4843bc0fe3515	21b8b9bb023e60d39f47270da5b4843bc0fe3515
21d697e12515e13611665fc55777606484f1862d	21d697e12515e13611665fc55777606484f1862d
228d320cc34da11f306c8765a09802ba7e3a415e	228d320cc34da11f306c8765a09802ba7e3a415e
22f526539bf1ba1f1779edfc89597520afca7b70	22f526539bf1ba1f1779edfc89597520afca7b70
2302e43f83ad567fbad51f3c04aa8c59bb01751c	b83c68c5bde8acf77228b4ec43e575ce489d2d4e
2332f589dae99f077b370c1b82f2bee0b6d97382	2332f589dae99f077b370c1b82f2bee0b6d97382
240078dd119b3dfed3ad68ec4a7167d236e68616	240078dd119b3dfed3ad68ec4a7167d236e68616
24a7ec7223022b93e0a196e6715ce6cb0da347fa	d680a0e4329fc73e24a0833d5c08d0a4ef0a2a97
24d8bd020dd4095d48cba7f89c66391825a4ee3f	24d8bd020dd4095d48cba7f89c66391825a4ee3f
25e218d6d9727b66cd21d2406fabb1c6e624dab6	25e218d6d9727b66cd21d2406fabb1c6e624dab6
266c513a59423e9e743aed851bd6ec1a95b20ff5	266c513a59423e9e743aed851bd6ec1a95b20ff5
267c10c23c50a1a9d64869a27a92debaa0a484e3	267c10c23c50a1a9d64869a27a92debaa0a484e3
26d51a3ce08b49c6dd77077e18ebc56ef46556e6	26d51a3ce08b49c6dd77077e18ebc56ef46556e6
28c58f7916a36b6b7fc517392db7be4d1f3dd938	28c58f7916a36b6b7fc517392db7be4d1f3dd938
293897786a9ec3a56aeedee47fd8837d6b3088de	922c23d57cded42e5feb2409feafef7d0669b5a0
2942102abd0d2423a026b9c15b852b00035cae11	2942102abd0d2423a026b9c15b852b00035cae11
29bc02d02671ebfb6f71c4b24cafb7548c2ca901	29bc02d02671ebfb6f71c4b24cafb7548c2ca901
2a10ed9177ca65531dd15e88afec649c8a3b0d82	2a10ed9177ca65531dd15e88afec649c8a3b0d82
2adb10073f27808cb731174db9f5d6b10864bc7f	5305643b08a057bd990b090970946aa2ea830ab6
2af1986f842a38c63f221aa90dae406d0719b68e	2af1986f842a38c63f221aa90dae406d0719b68e
2b8a6f0347cd44b23a0552b05d6bc66be4b4723f	2b8a6f0347cd44b23a0552b05d6bc66be4b4723f
2c14e3de1486bcbc184a18852294201cccabae1e	2c14e3de1486bcbc184a18852294201cccabae1e
2c186c8667b105f25676cf50e5bbb78d6ca214e0	2c186c8667b105f25676cf50e5bbb78d6ca214e0
2d2533072d2fcfc4bfac51d27d343c9d1c6d339a	2d2533072d2fcfc4bfac51d27d343c9d1c6d339a
2dd08a6cf3db16d73e470c474de7fa53a75ccb72	2dd08a6cf3db16d73e470c474de7fa53a75ccb72
2dd1b2db6ee5a26ca9800cf402b7a25e53ec14a4	2dd1b2db6ee5a26ca9800cf402b7a25e53ec14a4
2ddb0d786232a546dbc102e29673156146acf52c	818fdbc0c28148777528ea1e290512554296dd82
2e291b192167d3f1d34b2d0d0f1de050d29fb30d	2e291b192167d3f1d34b2d0d0f1de050d29fb30d
2f4c02c93ed6b805ec58435fdef165b74bb43223	2f4c02c93ed6b805ec58435fdef165b74bb43223
2fe280eec8c491aea6908c9d86c550c10caff091	2fe280eec8c491aea6908c9d86c550c10caff091
30026dfbc5c44a70288f28759dbe2831549dc3e0	30026dfbc5c44a70288f28759dbe2831549dc3e0
30ec17e13f3fefe93cef9cefe0aea4ecd5a84b03	30ec17e13f3fefe93cef9cefe0aea4ecd5a84b03
312caba1469c1cebc30aea44c88e674f051c8713	312caba1469c1cebc30aea44c88e674f051c8713
31537f08f73855012c5fb278d0b2fada0d9b7e24	31537f08f73855012c5fb278d0b2fada0d9b7e24
316fd84e881196b5dd190bfeaf576f001508283b	316fd84e881196b5dd190bfeaf576f001508283b
31a02b3472bfac5de74b7e9d24e37ef7375f0185	31a02b3472bfac5de74b7e9d24e37ef7375f0185
31b8753e37088778dda958b5422ccd58dd0e2b06	e1f36ea06b76bec5d664ca1a8d645cfc700291c6
32421540d18f342f64967ea1c7b77b8b5c30e6cc	32421540d18f342f64967ea1c7b77b8b5c30e6cc
3273b9baa377e23395602aa35b5a966dab213f44	25b3e4ab74af3559bd15b4f499946b22f5695fba
32ae269d84c3e803167c7f7244df9e276cf7d8c6	32ae269d84c3e803167c7f7244df9e276cf7d8c6
33723c28be44a0502450a4042f43de2ead7e7e76	33723c28be44a0502450a4042f43de2ead7e7e76
3471243b60d2c9d7d408bf8dd6a4bb8634f2b4f7	3471243b60d2c9d7d408bf8dd6a4bb8634f2b4f7
34905b18e2cd7c566e0e7d1eeec62a5c0551f108	34905b18e2cd7c566e0e7d1eeec62a5c0551f108
34a6ec8d8e8302e704ad8048f1d55c99cfc36932	34a6ec8d8e8302e704ad8048f1d55c99cfc36932
34b1c779340038d70089a34fa3cc7c2d1eae1c30	34b1c779340038d70089a34fa3cc7c2d1eae1c30
34f5545f5bc90b488df93226c7deede42d1cb315	34f5545f5bc90b488df93226c7deede42d1cb315
3524e0e407ecf50f0fd352e94412bf062bc669ae	3524e0e407ecf50f0fd352e94412bf062bc669ae
35d53a976e0ca72741ad7cd72001fbf4962c2876	35d53a976e0ca72741ad7cd72001fbf4962c2876
3639e6857db1b518d60e0f4a88f966036c9a27e4	3639e6857db1b518d60e0f4a88f966036c9a27e4
363fb277b620075bd45718e79fae2e2b5f6e46cd	363fb277b620075bd45718e79fae2e2b5f6e46cd
36a0546919311018d1532e5748f1968daf41089f	36a0546919311018d1532e5748f1968daf41089f
36eddda4c19d66a00be95807ee525e0c429899bf	36eddda4c19d66a00be95807ee525e0c429899bf
37541769b9681c39a6b43fbc8311d56bcedf10a6	37541769b9681c39a6b43fbc8311d56bcedf10a6
37b1897da3f732a66d01f94ab1c6e0e4f5ecfa61	bc12b2e20a8e9cbfb000c0a11a4a1a7de447bb8b
3812b8e6af78a2ddb11a1a5b9fbf66510a865487	3812b8e6af78a2ddb11a1a5b9fbf66510a865487
38164cf2df7e90c560137b6c08e7c09819257f4b	38164cf2df7e90c560137b6c08e7c09819257f4b
382cd8c7eb9f6b01173fe4039826e1af8f3811d0	c92598cda3752ef88e50bcff2ed21a0465389655
